Year,Units,material type,Value
2016,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Lívrunnin brennievni og aðrar framleiðslur,5.1
2016,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Tilsamans,66.3
2016,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Biomassi,16.1
2016,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Metalmálmur,1.0
2016,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Ikki-metalhavin steinsløg,35.8
2016,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Lívrunnin brennievni og aðrar framleiðslur,13.4
2017,Innlendis tilfarsnýtsla (1.000 t),Tilsamans,1524.7
2017,Innlendis tilfarsnýtsla (1.000 t),Biomassi,442.7
2017,Innlendis tilfarsnýtsla (1.000 t),Metalmálmur,46.6
2017,Innlendis tilfarsnýtsla (1.000 t),Ikki-metalhavin steinsløg,757.4
2017,Innlendis tilfarsnýtsla (1.000 t),Lívrunnin brennievni og aðrar framleiðslur,278.0
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Tilsamans,30.4
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Biomassi,8.8
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Metalmálmur,0.9
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Ikki-metalhavin steinsløg,15.1
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Lívrunnin brennievni og aðrar framleiðslur,5.5
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Tilsamans,77.8
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Biomassi,22.6
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Metalmálmur,2.4
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Ikki-metalhavin steinsløg,38.6
2017,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Lívrunnin brennievni og aðrar framleiðslur,14.2
2018,Innlendis tilfarsnýtsla (1.000 t),Tilsamans,1520.7
2018,Innlendis tilfarsnýtsla (1.000 t),Biomassi,409.0
2018,Innlendis tilfarsnýtsla (1.000 t),Metalmálmur,47.3
2018,Innlendis tilfarsnýtsla (1.000 t),Ikki-metalhavin steinsløg,764.8
2018,Innlendis tilfarsnýtsla (1.000 t),Lívrunnin brennievni og aðrar framleiðslur,299.7
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Tilsamans,29.9
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Biomassi,8.0
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Metalmálmur,0.9
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Ikki-metalhavin steinsløg,15.0
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Lívrunnin brennievni og aðrar framleiðslur,5.9
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Tilsamans,75.7
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Biomassi,20.4
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Metalmálmur,2.4
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Ikki-metalhavin steinsløg,38.1
2018,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Lívrunnin brennievni og aðrar framleiðslur,14.9
2019,Innlendis tilfarsnýtsla (1.000 t),Tilsamans,1557.7
2019,Innlendis tilfarsnýtsla (1.000 t),Biomassi,374.5
2019,Innlendis tilfarsnýtsla (1.000 t),Metalmálmur,26.2
2019,Innlendis tilfarsnýtsla (1.000 t),Ikki-metalhavin steinsløg,872.6
2019,Innlendis tilfarsnýtsla (1.000 t),Lívrunnin brennievni og aðrar framleiðslur,284.4
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Tilsamans,30.1
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Biomassi,7.2
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Metalmálmur,0.5
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Ikki-metalhavin steinsløg,16.9
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Lívrunnin brennievni og aðrar framleiðslur,5.5
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Tilsamans,71.4
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Biomassi,17.2
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Metalmálmur,1.2
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Ikki-metalhavin steinsløg,40.0
2019,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Lívrunnin brennievni og aðrar framleiðslur,13.0
2020,Innlendis tilfarsnýtsla (1.000 t),Tilsamans,1788.9
2020,Innlendis tilfarsnýtsla (1.000 t),Biomassi,415.6
2020,Innlendis tilfarsnýtsla (1.000 t),Metalmálmur,24.1
2020,Innlendis tilfarsnýtsla (1.000 t),Ikki-metalhavin steinsløg,1042.0
2020,Innlendis tilfarsnýtsla (1.000 t),Lívrunnin brennievni og aðrar framleiðslur,307.3
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Tilsamans,34.1
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Biomassi,7.9
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Metalmálmur,0.5
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Ikki-metalhavin steinsløg,19.8
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvønn íbúgva),Lívrunnin brennievni og aðrar framleiðslur,5.9
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Tilsamans,84.4
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Biomassi,19.6
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Metalmálmur,1.1
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Ikki-metalhavin steinsløg,49.1
2020,Innlendis tilfarsnýtsla (1.000 t fyri hvørja BTÚ-eind),Lívrunnin brennievni og aðrar framleiðslur,14.5
